iso,id_1,name_1,id_2,name_2,year,month,nlsum,area,date,nl_density,nl_density_clipped
AFG,1,Badakhshan,1,Baharak,2018,5,5732.18,3003.881,2018-05-01,1.9082580168788312,1.9082580168788312
AFG,1,Badakhshan,1,Baharak,2018,6,0.0,3003.881,2018-06-01,0.0,0.0
AFG,1,Badakhshan,1,Baharak,2018,7,716.58,3003.881,2018-07-01,0.23855139401327818,0.23855139401327818
AFG,1,Badakhshan,1,Baharak,2018,8,4799.02,3003.881,2018-08-01,1.5976065629763632,1.5976065629763632
AFG,1,Badakhshan,1,Baharak,2018,9,4462.61,3003.881,2018-09-01,1.485614776350994,1.485614776350994
AFG,1,Badakhshan,1,Baharak,2018,10,6728.8,3003.881,2018-10-01,2.240035474108329,2.240035474108329
AFG,1,Badakhshan,1,Baharak,2018,11,8807.51,3003.881,2018-11-01,2.932043579622495,2.932043579622495
AFG,1,Badakhshan,1,Baharak,2018,12,4780.23,3003.881,2018-12-01,1.5913513218399795,1.5913513218399795
AFG,1,Badakhshan,1,Baharak,2019,1,7625.06,3003.881,2019-01-01,2.5384028195524393,2.5384028195524393
AFG,1,Badakhshan,1,Baharak,2019,2,4858.54,3003.881,2019-02-01,1.6174209297904945,1.6174209297904945
AFG,1,Badakhshan,1,Baharak,2019,3,6037.25,3003.881,2019-03-01,2.0098166338813024,2.0098166338813024
AFG,1,Badakhshan,1,Baharak,2019,4,4666.75,3003.881,2019-04-01,1.5535735270471767,1.5535735270471767
AFG,1,Badakhshan,1,Baharak,2019,5,5019.08,3003.881,2019-05-01,1.6708651241510566,1.6708651241510566
AFG,1,Badakhshan,1,Baharak,2019,6,0.0,3003.881,2019-06-01,0.0,0.0
AFG,1,Badakhshan,1,Baharak,2019,7,3208.34,3003.881,2019-07-01,1.068064946647354,1.068064946647354
AFG,1,Badakhshan,1,Baharak,2019,8,3645.95,3003.881,2019-08-01,1.2137464832994382,1.2137464832994382
AFG,1,Badakhshan,1,Baharak,2019,9,4192.39,3003.881,2019-09-01,1.3956578173369718,1.3956578173369718
AFG,1,Badakhshan,1,Baharak,2019,10,6798.88,3003.881,2019-10-01,2.263365293099161,2.263365293099161
AFG,1,Badakhshan,1,Baharak,2019,11,7293.71,3003.881,2019-11-01,2.428095520428406,2.428095520428406
AFG,1,Badakhshan,1,Baharak,2019,12,6574.49,3003.881,2019-12-01,2.1886652633709525,2.1886652633709525
AFG,1,Badakhshan,1,Baharak,2020,1,4732.83,3003.881,2020-01-01,1.5755717353650163,1.5755717353650163
AFG,1,Badakhshan,1,Baharak,2020,2,6595.45,3003.881,2020-02-01,2.195642903297434,2.195642903297434
AFG,1,Badakhshan,1,Baharak,2020,3,5115.07,3003.881,2020-03-01,1.702820451276199,1.702820451276199
AFG,1,Badakhshan,1,Baharak,2020,4,5044.5,3003.881,2020-04-01,1.6793275099779252,1.6793275099779252
AFG,1,Badakhshan,1,Baharak,2020,5,3578.56,3003.881,2020-05-01,1.1913121724861937,1.1913121724861937
